Date,Close,High,Open,Low
2022.12.06 20:00:00,1.04631,1.04826,1.04639,1.04819
2022.12.06 21:00:00,1.04593,1.04691,1.04632,1.04639
2022.12.06 22:00:00,1.04622,1.04719,1.04696,1.04635
2022.12.06 23:00:00,1.04627,1.04705,1.04642,1.04697
2022.12.07 00:00:00,1.04617,1.04691,1.04649,1.04641
2022.12.07 01:00:00,1.04639,1.04697,1.04671,1.04649
2022.12.07 02:00:00,1.04562,1.0468,1.0461,1.04671
2022.12.07 03:00:00,1.04551,1.04738,1.04725,1.04615
2022.12.07 04:00:00,1.04649,1.04765,1.04658,1.04724
2022.12.07 05:00:00,1.04581,1.04677,1.04669,1.04655
2022.12.07 06:00:00,1.04586,1.04681,1.04637,1.04668
2022.12.07 07:00:00,1.0462,1.0471,1.04665,1.04636
2022.12.07 08:00:00,1.04475,1.04682,1.04487,1.04668
2022.12.07 09:00:00,1.04431,1.04673,1.04597,1.0449
2022.12.07 10:00:00,1.04492,1.04803,1.0478,1.04598
2022.12.07 11:00:00,1.04659,1.04844,1.04759,1.0478
2022.12.07 12:00:00,1.04727,1.05069,1.04998,1.0476
2022.12.07 13:00:00,1.04891,1.05047,1.04896,1.04998
2022.12.07 14:00:00,1.04863,1.05395,1.05366,1.04896
2022.12.07 15:00:00,1.05201,1.05473,1.05425,1.05366
2022.12.07 16:00:00,1.05156,1.05498,1.05175,1.05426
2022.12.07 17:00:00,1.04944,1.05293,1.05041,1.05175
2022.12.07 18:00:00,1.04882,1.05106,1.05038,1.05041
2022.12.07 19:00:00,1.04987,1.05222,1.05181,1.05039
2022.12.07 20:00:00,1.05102,1.05286,1.05106,1.05182
2022.12.07 21:00:00,1.05064,1.05202,1.05143,1.05105
2022.12.07 22:00:00,1.05026,1.05169,1.05098,1.05142
2022.12.07 23:00:00,1.05036,1.05124,1.05036,1.05098
2022.12.08 00:00:00,1.05014,1.05112,1.05062,1.05031
2022.12.08 01:00:00,1.05063,1.0515,1.05116,1.05063
2022.12.08 02:00:00,1.05016,1.05153,1.05022,1.05118
2022.12.08 03:00:00,1.04948,1.05045,1.05017,1.05022
2022.12.08 04:00:00,1.04945,1.05074,1.04958,1.05019
2022.12.08 05:00:00,1.04944,1.05047,1.0504,1.04955
2022.12.08 06:00:00,1.04948,1.05044,1.0501,1.05037
2022.12.08 07:00:00,1.04939,1.05061,1.05037,1.05012
